WBGeneID	embryo_GFPplus_rep1	embryo_GFPplus_rep2	embryo_GFPplus_rep3	L1_GFPplus_rep1	L1_GFPplus_rep3	L3_GFPplus_rep1	L3_GFPplus_rep2	L3_GFPplus_rep3
WBGene00021406	6.1818641897796915	7.182480452494823	6.108270172735535	7.125834005021703	5.804696525454483	5.296188203042453	6.589629098064936	4.970792918757631
WBGene00021407	3.450071271731641	1.2592167051173457	2.3284711868655954	1.2923963820875333	1.3842883290590517	2.4974697406275386	2.0085698724312864	2.1346699061226766
WBGene00021408	3.4062677115712336	3.5550418922989415	3.160220319152857	3.86130464623459	2.3755040620987398	2.964520806425416	1.5091922728035165	1.6355520629605445
WBGene00021404	3.3744122215693952	3.1434596650399618	3.117215570554875	3.2909459798700054	1.8314839942511183	1.6773403518921441	0.7181846512209579	1.4700537641185263
WBGene00001492	10.090654768035225	9.360897882490534	9.603875495156212	9.896171105565596	9.427606204378714	8.93572242052891	8.563954654240296	9.071060819632056
WBGene00021403	0.9198749190647183	1.312916068884136	1.2641178614735777	0.9065790744739524	0.9635590312793223	1.6285129947638157	0.9904202246582252	1.0224277432000501
WBGene00015246	3.943225569821653	2.472283164982377	2.2719181103499224	5.224141293403116	4.4000772998755995	2.2019621704863943	2.9540033836850923	1.608867558151623
WBGene00006599	11.6672773370324	11.59016616995482	11.332665117925991	12.63460455126131	11.937692704976925	11.71973874127261	11.61517858078299	12.191416531945125
WBGene00015247	4.849252824360168	5.717773049039192	5.416261384117272	6.027807130720009	4.462809444338466	4.315444714208156	3.8225108501734706	4.024996709037784
WBGene00001111	3.859084300698	3.3865509805202803	3.702597889365811	4.261811484356762	3.7511281872193365	3.556692787623801	3.063205146204675	3.487761366170331
WBGene00023277	4.143152465683999	3.3425734803613354	3.560653385820584	3.5562458338817264	3.5370557792687345	1.9063491821510798	1.9914241513459403	3.6576416732467467
WBGene00017928	9.59298540439165	9.282465707155826	9.48438936669429	11.008797764107044	10.633762315809932	10.190066545912966	10.111360466231023	10.136077144617225
WBGene00017929	11.194716462701438	10.879500375823843	10.860659866403815	10.862730323352837	10.74444211041168	10.80203794547641	10.580148517268055	10.503004593851202
WBGene00017926	11.8511713545298	12.05448486324293	12.11322690437762	12.699189416354846	12.713814031420352	12.59909784807369	12.842018649521108	12.794826012002002
WBGene00000897	10.986030141878436	10.882163812220215	11.107274345937482	11.070885981926988	10.79664390658155	10.45217812960351	10.325351468095212	10.782091133304304
WBGene00000674	9.897154782860094	10.704921446738492	10.017316007362748	8.140008870011599	8.706406226637801	10.107531429770173	9.789058580253329	9.520363237435982
WBGene00021400	2.518219758789999	3.234916396610493	2.9066481854161537	5.045829505031305	5.173047067116844	8.487733659076058	7.344176405519591	8.099691960148988
WBGene00021397	8.021165711433836	6.433908496457714	6.167650274894227	9.443432494091816	8.57142157976007	7.27482224254439	6.990874195163887	7.920025620143822
WBGene00021396	9.737668322440319	8.375897160524925	7.998188811945109	10.591139412716947	9.392339708001876	9.204224728439254	8.77353417981405	9.597428052117403
WBGene00006561	11.266334028941342	11.398845219198057	11.34991986239743	9.02283903974282	9.322259236792062	9.441070750536	9.064019723010041	8.536570047380911
WBGene00021395	7.475825142351328	8.116399126728403	7.515056554116746	8.873854523401352	9.95790025554157	10.242334853833436	9.563048302491707	9.289544277408176
WBGene00021402	7.982479864111676	8.237041435150376	8.053023458562002	9.355281013412954	9.233088008420307	8.608704134511584	8.920006918408246	8.678289842799003
