WBGeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
WBGene00021406,92.30297330847087,0.8006495201441889,0.8805535722895413,0,0.5895518115889669,1
WBGene00021407,11.465322923125738,0.2906866983909145,1.1774668028856357,0,0.7265481077939,1
WBGene00021408,8.42752243150101,7.6523853371877335,1.6836853918140413,3.9510857369976353,3.889872265677329e-5,4.3645773740540265e-4
WBGene00021404,7.727994183479848,8.219417954257612,1.6079779191004617,4.489749435300898,3.565350128493955e-6,4.473913509552864e-5
WBGene00001492,578.9628754246353,0.44026276827045674,0.32460314493421655,0,0.9576798282392678,1
WBGene00021403,7.11857143997051,-1.1046414818627592,1.4829416758054665,0,0.9220846198430147,1
WBGene00015246,12.624046021722862,1.6944104713640828,0.9891716801533313,0.7020120827321324,0.24133581414502983,1
WBGene00006599,3424.960614280606,0.8853873014406194,0.24701289010623292,0,0.6786742673234626,1
WBGene00015247,41.24642969781721,-0.6632346658069777,0.567869938558666,0,0.9982991846793854,1
WBGene00001111,20.721777435490594,-2.5907155083178055,0.6937470251137018,0,0.9999998865489913,1
WBGene00023277,16.375126103205627,-1.7521848747824251,0.7942049903539843,0,0.9997352124844138,1
WBGene00017928,1141.3334513733384,-0.3804195724303878,0.2405543460338272,0,0.999999995223881,1
WBGene00017929,2301.4070432354656,-0.8484514653035797,0.1739470279538707,0,1,1
WBGene00017926,5506.611882689412,0.5630440339364796,0.21052081189668753,0,0.98103429258943875,1
WBGene00000897,1626.9006302354826,-0.06755172700034551,0.15713605591242885,0,0.9999999999945393,1
WBGene00000674,2155.156674775342,-2.4914915423820485,0.4437627438750603,0,0.9999999999999982,1
WBGene00021400,214.44553972757035,-2.673377832996058,0.8848739046688472,0,0.9999834704604275,1
WBGene00021397,148.46761113052048,5.851790959701487,0.7197093837432781,6.741319578837299,7.84772755026011e-12,1.7184058539587475e-10
WBGene00021396,535.3610036594467,0.6423031729613162,0.5328651626172833,0,0.7489759853774011,1
WBGene00006561,1223.131254437442,0.4874867845973965,0.31413638536225214,0,0.9486074703012836,1
WBGene00021395,851.8966939876241,-1.7425119221151875,0.3753963884793122,0,0.999999999999862,1
WBGene00021402,401.8929771030695,-0.5129853991795944,0.21995946785701645,0,0.9999999999969751,1
WBGene00000815,1410.266257935898,-0.8398531475177222,0.18420838494166167,0,1,1
WBGene00044736,168.891180291396,-0.6092772573986445,0.3439969374323751,0,0.9999985527899906,1
WBGene00195063,539.3804590099079,-0.1083123611056265,0.2789796579946437,0,0.9999644740178582,1
WBGene00021394,1152.739209240858,0.10755665521206026,0.1874248182759916,0,0.9999990397133519,1
WBGene00021401,666.5010095459768,1.0189566018775371,0.19178273716392172,0.09884415124044461,0.4606310062475846,1
WBGene00019821,1571.7988365216638,-0.5634916095775422,0.19292885150071515,0,0.9999999999999998,1
WBGene00019822,1390.314862387641,-0.9438963489240039,0.18006963712519772,0,1,1
WBGene00019823,1430.5448322467562,-0.4874237798427358,0.17519048726284792,0,1,1
WBGene00019820,1389.25836905459,-0.8343488926428416,0.18521808829745967,0,1,1
WBGene00019819,3030.2236698890633,-2.108931339025041,0.5187528257288022,0,0.9999999989705333,1
WBGene00019824,884.0143952784756,-1.3073488643688569,0.30273336217050284,0,0.9999999999999875,1
WBGene00019825,283.02246507733736,-0.6634341734141986,0.3864703463107409,0,0.9999916193638114,1
