WBGeneID,mean.rlog.counts,var.rlog.counts,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status
WBGene00000001,10.057142109984866,0.0037643822998805233,1132.5215120398984,-0.5699898927826419,0.1984013835131661,-2.87291289349712,0.0040670623650440356,0.016496042918194943,no_sig_diff
WBGene00000002,10.842730318277038,0.11679131894591438,906.5866668765065,1.8821198614350703,0.47738157198365017,3.942590103791294,8.060635184043197e-5,6.268180738195561e-4,enriched
WBGene00000003,8.487483476848682,0.18614046091454495,639.9086629647973,-1.3597910957860198,0.5410346074903517,-2.513316296148891,0.011960204971464144,0.038655204538177,no_sig_diff
WBGene00000004,11.193649789177643,0.10298105967707913,2632.6404452676384,-1.3860801176117483,0.5595224952288118,-2.4772553908577404,0.013239712675193955,0.04184383202816262,no_sig_diff
WBGene00000005,8.771359734869817,0.027598205503195423,142.43895736611444,7.597513998445857,0.7184556983605455,10.57478424317983,3.900742852663593e-26,2.6673407519721935e-24,enriched
WBGene00000006,8.136120300178924,0.24249764077513877,2209.227490410859,-1.5704931209374229,0.6114171443593132,-2.568611520671535,0.0102106851877878,0.03414914212259499,no_sig_diff
WBGene00000007,4.322103166976348,0.7246399522377458,181.12549474285404,4.003111128288354,1.199396393005943,3.3376047748948987,8.450385506007596e-4,0.0045493350571320194,enriched
WBGene00000008,1.0140017520990279,0.9219717181245473,12.153252198961935,-0.9965602212857836,1.579302766535221,-0.6310127750058359,0.52803217148732,0.6568117154985222,no_sig_diff
WBGene00000009,5.979751147854643,0.5275910647079444,64.71059891015236,5.951354545746592,0.8036208849883199,7.405674313495588,1.3048571538347675e-13,3.6045166623017103e-12,enriched
WBGene00000010,9.966194274157603,0.029425352050990537,976.5228462191728,0.0321199640845519,0.21238562576394207,0.15123417118751684,0.8797909955819198,0.9299539305588425,no_sig_diff
WBGene00000012,5.096954778914891,0.426180848467147,30.230678754686387,0.2095911879688476,0.774589935832375,0.2705834122975284,0.7867114551239707,0.8612888893196028,no_sig_diff
WBGene00000013,4.400142941374381,0.4570665950598932,42.12382585230809,-0.7184436816463795,0.8030943879472597,-0.8945943246879726,0.3710039867540985,0.5108714609628601,no_sig_diff
WBGene00000015,2.022806010654143,5.789174739314645,9.301667557120924,3.3776368232116347,1.6381261315779663,2.061890570024691,0.03921815552933975,0.09650459706944026,no_sig_diff
WBGene00000016,3.258210512819446,0.15368713193547784,256.6544587770734,3.634440694138969,1.7127809225231339,2.1219530451010615,0.03384168128835027,0.08629608501155762,no_sig_diff
WBGene00000017,3.4929224501572396,0.002487084450691809,410.7425804146824,-4.19865273233033,1.8250065796191839,-2.3006233397834897,0.02141293060944115,0.06088453725841918,no_sig_diff
