WBGeneID,baseMean,log2FoldChange,lfcSE,pvalue,padj
WBGene00021406,109.82130503037394,0.4807670102668503,0.7436678171567335,0.39858600648872416,0.5378783404289117
WBGene00021407,16.833959457432844,0.13566847378955793,0.9148428690268426,0.8217451139130418,0.8875817544031489
WBGene00021408,13.854852436160344,6.3306950770237105,1.616349578135844,3.106553793449011e-6,3.492737785238413e-5
WBGene00021405,2.324827661721237,1.6314061102076223,1.728798106243414,0.04815415188650996,0.1130462620154268
WBGene00021409,1.0531336462492762,0.5823484902490245,1.8102028543168789,0.314365917537121,NA
WBGene00021404,9.540249689235385,7.068657019415215,1.4260078885417098,4.813361341580814e-8,7.525297161919749e-7
WBGene00001492,699.5911786485171,0.36213598281488624,0.46710855383587224,0.3911386422249878,0.5307128698356871
WBGene00021403,9.851692596787611,-0.42617794473954357,1.0322140910984057,0.49198202474460534,0.6242867551760458
WBGene00235257,4.528465201159761,-0.9062277471724701,1.0734585822986127,0.16765201074690755,0.2849442047214982
WBGene00235258,3.585574300494238,-0.5064179891940631,1.2445253213051495,0.42385329902620067,0.5620831502048537
WBGene00235260,4.514683152506144,-1.6425373417380302,1.2379530372423497,0.02728366075584872,0.07345140424990072
WBGene00235259,0.7004480454233588,-0.209603303916638,1.538492762464471,0.7148166975159138,NA
WBGene00235261,3.8448908601400205,-1.4804677511426905,1.443153356027479,0.05395114229582463,0.12286580298337174
WBGene00235262,0.32064204875234414,0.032929216188345024,1.788647852350444,0.9426237813322129,NA
WBGene00015246,12.148063602656018,1.0050647624851352,0.8431376882730844,0.09930634811520675,0.19398081823459323
WBGene00006599,3317.474486901243,0.7564903457559886,0.4289799197658359,0.054601591558914656,0.1239276083962046
WBGene00015247,40.82707881303038,-0.5125575434247859,0.5365302450969897,0.27419602701789453,0.40946816121188656
WBGene00017927,3.962375670565951,-0.27735401161920437,0.9638872690746454,0.6489815445762972,0.7575243995980608
WBGene00001111,21.679406299865917,-2.1344385309360683,0.6905900827053595,1.2633277004044647e-4,9.228708413182318e-4
WBGene00023277,17.88161297558048,-1.2965456269946825,0.6643437454421011,0.016286055550052917,0.0491978526291865
WBGene00017928,1100.4991155499338,-0.34608417040324374,0.3181987238680664,0.2549116686413562,0.38817448606776617
WBGene00017929,2267.862088017135,-0.8155717105012522,0.21626499842253996,1.1630671907648336e-4,8.610908530561366e-4
WBGene00196821,4.714320406266482,-0.53666839471278,0.8256783017174526,0.3666317423518818,0.5064894759548815
WBGene00017926,5327.47192127394,0.5273662338594032,0.2737837527355491,0.04628621877143495,0.10956138675485726
WBGene00000897,1718.8833555121787,-0.06431940665879635,0.23565607428666718,0.779669113890194,0.8557403978156977
WBGene00000674,2032.8897226863253,-2.2551266982550455,0.48513794785296327,1.5026440226655225e-7,2.1854354070231614e-6
WBGene00198932,6.177065229887054,-3.397873464104815,1.3085756508698996,1.8435941341456264e-4,0.0012618969235884865
WBGene00197291,0.17345918863827653,-0.19755267566552812,1.8133600965999659,0.6684346024549206,NA
WBGene00021400,195.08761424523033,-1.614342634213341,1.0800927466471837,0.021420076795707427,0.06089655420546266
WBGene00021398,3.015159796717604,-0.5135541740627575,1.2885515686181335,NA,NA
WBGene00219750,1.0983079002493799,-0.7081144252753444,1.5017830389149551,0.28280083024917857,NA
WBGene00021397,140.61855193386936,5.611376028506899,0.7874545717388652,1.531239777482083e-13,4.22427735438708e-12
WBGene00021396,642.6214240591999,0.4470296217901552,0.6270030073792459,0.39002192969872007,0.5296456156919199
WBGene00198224,4.597188624344239,0.16541581077886688,1.0161095590563738,0.7857951625758062,0.8606264005839995
WBGene00006561,1172.6283156395687,0.43379575951417676,0.36243860270546163,0.2038253691203939,0.3290997831055923
WBGene00021395,829.6501051492817,-1.4881488886673695,0.48796185970122863,5.925213450776408e-4,0.003373257673983364
WBGene00196851,3.342309314214933,0.3612049502331581,0.9461331009858182,0.5540820949000982,0.6786033337974308
WBGene00021402,382.1890462843037,-0.4570390594567725,0.36696235519962783,0.18535834137565635,0.3069827338783998
WBGene00000815,1339.644700475616,-0.8087749993840537,0.2135384100507518,1.0960407437564207e-4,8.178542308330558e-4
